"","municipality","aid","street_address","postal_code","population","is capital area","building","description","rent","size","build_year","tax value","euromääräinen erotus","suhteellinen erotus","rental_service","url","rent_per_sqm","geo.lat","geo_lontest","lat","lon","mun_lat","mun_lon","geodistance_m","distance_to_hel","avg_size","avg_geodistance","avg_rent","avg_rent_per_sqm","diff_to_avg_price","diff_to_avg_price_per_sqm","geo.lon","geo.lat","mun_geo.lon","mun_geo.lat"
"1","Akaa",476176,"päiväniementie 41","37800",NA,0,"omakotitalo","4h+k+pesuhuone+wc",870,70,1940,497,-373,"57.13%",NA,"/vuokra-asunto/akaa/lontila/omakotitalo/4h/476176?entryPoint=fromSearch&rentalIndex=4114",12.4285714285714,61.1097021,61.1097021,23.9284422,61.1097021,23.8673424,61.1677422,7256.89923672139,118404.004956292,70,7256.89923672139,870,12.4285714285714,0,0,23.9284422,61.1097021,23.8673424,61.1677422
"2","Alajärvi",468238,"Hoiskontie 5 as 4","62900",NA,0,"erillistalo","2 h,kk,ph-wc",465,50,1952,385,-80,"82.80%","Järviseudun OP-Kiinteistökeskus Oy LKV","/vuokra-asunto/alajarvi/erillistalo/kaksio/468238?entryPoint=fromSearch&rentalIndex=5303",9.3,63.0019235,63.0019235,23.8194081,63.0019235,23.8159264,63.0001054,268.683699465741,321134.802687951,50,268.683699465741,465,9.3,0,0,23.8194081,63.0019235,23.8159264,63.0001054
"3","Asikkala",454533,"Vesivehmaantie 305","17130",NA,0,"rivitalo","2h,k,kph,wc,",610,88,1963,597.8,-12.2,"98.00%","Realia Asuntovuokraus Lahti","/vuokra-asunto/asikkala/vesivehmaa/rivitalo/kaksio/454533?entryPoint=fromSearch&rentalIndex=6002",6.93181818181818,61.1316746,61.1316746,25.6592748,61.1316746,25.5471381,61.1721358,7535.96056842653,114191.407033233,61.75,4142.04819988815,515,9.38140204865557,95,-2.44958386683739,25.6592748,61.1316746,25.5471381,61.1721358
"4","Asikkala",482231,"Aniantie 17","17200",NA,0,"kerrostalo","2h + kk + kph + vh",420,35.5,1966,303.8,-116.2,"72.33%","Vuokraturva Oy LKV [A]","/vuokra-asunto/asikkala/vaaksy/kerrostalo/kaksio/482231?entryPoint=fromSearch&rentalIndex=2045",11.830985915493,61.1667574,61.1667574,25.5554584,61.1667574,25.5471381,61.1721358,748.135831349765,116086.631290512,61.75,4142.04819988815,515,9.38140204865557,-95,2.44958386683739,25.5554584,61.1667574,25.5471381,61.1721358
"5","Askola",481121,"askolantie 57","07510",NA,0,"kerrostalo","3h + k",700,80,1962,553,-147,"79.00%",NA,"/vuokra-asunto/askola/vakkola/kerrostalo/kolmio/481121?entryPoint=fromSearch&rentalIndex=2526",8.75,60.5179269,60.5179269,25.5870412,60.5179269,25.5978426,60.5304413,1515.28904553481,52791.2075937585,80,1515.28904553481,700,8.75,0,0,25.5870412,60.5179269,25.5978426,60.5304413
"6","Aura",479365,"Kellosepäntie 6 A","21380",NA,0,"rivitalo","4h+k+kh+vh+kph+s+erill.wc",900,93,2007,829.1,-70.9,"92.12%","Huoneistoketju Oy Turku","/vuokra-asunto/aura/hypoinen/rivitalo/4h/479365?entryPoint=fromSearch&rentalIndex=3155",9.67741935483871,60.6526517,60.6526517,22.5926159,60.6526517,22.5912172,60.6467431,662.78654864268,140001.566632258,93,662.78654864268,900,9.67741935483871,0,0,22.5926159,60.6526517,22.5912172,60.6467431
"7","Espoo",475158,"Elosalamantie 2 F-G ja 4 H-I","02100",NA,1,"kerrostalo","2h+kk",995,41,2013,522.7,-472.3,"52.53%","SATO Vuokraus ja myynti / Helsinki","/vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/475158?entryPoint=fromSearch&rentalIndex=4298",24.2682926829268,60.1719596,60.1719596,24.8079867,60.1719596,24.6559,60.2054911,9228.10412913853,7242.16273272731,70.9648106904232,6449.46808369524,1167.35574610245,17.305260856923,-172.35574610245,6.96303182600387,24.8079867,60.1719596,24.6559,60.2054911
"8","Espoo",484150,"Linnustajantie 6","02940",NA,1,"kerrostalo","4H+K",1429,100,1974,949,-480,"66.41%","VVO-kotikeskus Helsinki","/vuokra-asunto/espoo/lippajarvi/kerrostalo/4h/484150?entryPoint=fromSearch&rentalIndex=870",14.29,60.2266638,60.2266638,24.7106508,60.2266638,24.6559,60.2054911,3844.07420682069,14128.0056427354,70.9648106904232,6449.46808369524,1167.35574610245,17.305260856923,261.64425389755,-3.01526085692296,24.7106508,60.2266638,24.6559,60.2054911
"9","Espoo",479050,"Kuutamokatu 4 A","02210",NA,1,"kerrostalo","1h + kk + kph + vh + alkovi",610,28.5,1973,384.15,-225.85,"62.98%","Vuokraturva Oy LKV [A]","/vuokra-asunto/espoo/olari/kerrostalo/yksio/479050?entryPoint=fromSearch&rentalIndex=3267",21.4035087719298,60.1759696,60.1759696,24.7279193,60.1759696,24.6559,60.2054911,5175.20302669069,11702.1793044696,70.9648106904232,6449.46808369524,1167.35574610245,17.305260856923,-557.35574610245,4.09824791500687,24.7279193,60.1759696,24.6559,60.2054911
"10","Espoo",470708,"Linnatullinkatu 1","02600",NA,1,"kerrostalo","1H+KT",950.69,43,2011,540.1,-410.59,"56.81%","Ovenia Isännöinti Oy","/vuokra-asunto/espoo/leppavaara/kerrostalo/yksio/470708?entryPoint=fromSearch&rentalIndex=557",22.1090697674419,60.2189922,60.2189922,24.8083298,60.2189922,24.6559,60.2054911,8583.87035192231,9055.93847746757,70.9648106904232,6449.46808369524,1167.35574610245,17.305260856923,-216.66574610245,4.80380891051891,24.8083298,60.2189922,24.6559,60.2054911
