aid,street_address,postal_code,municipality,population,is capital area,building,description,rent,size,build_year,tax value,euromääräinen erotus,suhteellinen erotus,rental_service,url
482997,Hallituskatu 19 B 24,90100,Oulu,,0,kerrostalo,4h+k+wc+ph,1950,78,1963,541.8,-1408.2,27.78%,"Corbel Oy, Kiinteistöjohtaminen, Pohjois-Suomi",/vuokra-asunto/oulu/keskusta/kerrostalo/4h/482997?entryPoint=fromSearch&rentalIndex=1638
466344,Sepänkatu 13,00150,Helsinki,,1,kerrostalo,4h+k+2xkph+2xparveke (furn.),2850,84,1963,822.6,-2027.4,28.86%,Luxhousing,/vuokra-asunto/helsinki/punavuori/kerrostalo/4h/466344?entryPoint=fromSearch&rentalIndex=5451
466650,Vihertie 50,01620,Vantaa,,1,omakotitalo,12h+k+s,25000,860,1990,7648,-17352,30.59%,,/vuokra-asunto/vantaa/martinlaakso/omakotitalo/5h+/466650?entryPoint=fromSearch&rentalIndex=5425
475545,Piritanaukio 3 B,00150,Helsinki,,1,kerrostalo,3h + avok + 2 x kph + s + tera,3990,127.5,2008,1275.25,-2714.75,31.96%,Vuokraturva Oy LKV [A],/vuokra-asunto/helsinki/eiranranta/kerrostalo/kolmio/475545?entryPoint=fromSearch&rentalIndex=4231
470840,Westendintie,02160,Espoo,,1,omakotitalo,8 h + k + 3 kph + sauna + 1 wc,8500,313,2011,2889.1,-5610.9,33.99%,Asuntoverstas Hallinnointi ja vuokraus Oy,/vuokra-asunto/espoo/westend/omakotitalo/5h+/470840?entryPoint=fromSearch&rentalIndex=5023
465426,Lönnrotinkatu 39 C 58,01800,Nurmijärvi,,0,kerrostalo,4h+k,1950,100,1924,665,-1285,34.10%,,/vuokra-asunto/helsinki/keskusta/kerrostalo/4h/465426?entryPoint=fromSearch&rentalIndex=5494
476214,Laivastokatu 4 D,00160,Helsinki,,1,kerrostalo,"PENTHOUSE; 3r, s,balcony",3200,107,2012,1096.9,-2103.1,34.28%,Celine Oy Ab LKV AFM,/vuokra-asunto/helsinki/katajanokka/kerrostalo/kolmio/476214?entryPoint=fromSearch&rentalIndex=4107
433139,Pohjoinen Rautatiekatu 31,00100,Helsinki,,1,kerrostalo,2h+k+s,1995,63,2009,714.1,-1280.9,35.79%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/etu-toolo/kerrostalo/kaksio/433139?entryPoint=fromSearch&rentalIndex=5682
472891,Eiranranta 5 B,00150,Helsinki,,1,kerrostalo,"Unfurnished 2-3r, k, s, balc",2495,84,2008,896.8,-1598.2,35.94%,Celine Oy Ab LKV AFM,/vuokra-asunto/helsinki/eiranranta/kerrostalo/kaksio/472891?entryPoint=fromSearch&rentalIndex=4754
475710,Urho Kekkosen katu 5 B,00100,Helsinki,,1,kerrostalo,"Unfurnished 2r, sauna,balcony",1500,45.5,2005,561.85,-938.15,37.46%,Celine Oy Ab LKV AFM,/vuokra-asunto/helsinki/kamppi/kerrostalo/kaksio/475710?entryPoint=fromSearch&rentalIndex=4195
413596,Vanhaväylä 39,00830,Helsinki,,1,rivitalo,FANTASTIC APARTMENT!,6500,291,1974,2457.9,-4042.1,37.81%,Celine Oy Ab LKV AFM,/vuokra-asunto/helsinki/tammisalo/rivitalo/5h+/413596?entryPoint=fromSearch&rentalIndex=6521
477494,Töölönkatu 11 A 123,00100,Helsinki,,1,kerrostalo,1h+kph,995,20,1926,377,-618,37.89%,,/vuokra-asunto/helsinki/etu-toolo/kerrostalo/yksio/477494?entryPoint=fromSearch&rentalIndex=3783
454465,Sturenkatu 27,00510,Helsinki,,1,kerrostalo,1h+yhteiskeittiö,690,13,1971,261.7,-428.3,37.93%,Vuokrahuone Vallila,/vuokra-asunto/helsinki/vallila/kerrostalo/yksio/454465?entryPoint=fromSearch&rentalIndex=6006
456081,Jääkärinkatu 8,00150,Helsinki,,1,kerrostalo,1h+kk,1150,32,2012,444.4,-705.6,38.64%,,/vuokra-asunto/helsinki/ullanlinna/kerrostalo/yksio/456081?entryPoint=fromSearch&rentalIndex=5944
